text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Conlangs - Esperanto - Literary - NT,4.4822746431680835,2.503736124881135,1.08861207486902,5.55658133860727,2.5670044235582834,0.6818167893851501,-0.1450944597710771,1.3241207112374627,0.8281741530697657,2.1041069953764273,1.0591824876006952,0.64888575782697,2.0674668236226657,17.22,2.5284,1.5610127992812446,0.679674598044239,-0.28528327471132237,1.549640091146073,0.704807747927726,-0.3351768376001092,0.1280352556925389,0.041392108768222136,111.08,3.5230586289290615,0.5100620148692359,0.23422321309926644,3.013945549942627,0.8061908191611283,0.270575387306476,1.5392670533015034,108.62,0.00014611395180819207,0.0,22.82,0.0014065125290963776,0.0,449.23,1.5399407143333357,0.4632291508050659,3.6589274614270186,0.03446204786444196
Conlangs - Esperanto - Technical - Voynich Wiki,5.132288506435063,2.8959218618905562,0.7540695089664122,6.082248900489177,2.759756637326058,0.5359228801196145,-0.1536218847816847,1.3454411395173114,0.960190098972486,2.925063479325324,1.1315492944911891,0.812701804669302,2.146571898563854,20.52,2.1024,1.6537847048104297,0.686205277162296,-0.6152464327661299,1.6516243050107615,0.7026171245054762,-0.61684759117575,0.12089801326032493,0.04103422295612434,120.73,3.277471731064551,0.4670073599240529,0.21359324201639554,3.244388846888464,0.7277161915926752,0.23309191594525153,1.3424020503173981,124.49,0.0019685216715643566,0.000292924368421297,23.19,0.004624222664288435,0.0,565.88,1.635725636496193,0.4775953131583929,4.9108088905905865,0.017551437049722986
Conlangs - Interlingua - Literary - NT,4.256429079261282,2.4759326216468573,0.7728171076961957,5.28504100401754,2.4560305674811653,0.4592575822244539,-0.23988646158283142,1.3871683152877823,1.0557393815634726,3.1543284403072516,1.221056458603081,1.106040430260214,2.6637309443452364,18.35,2.5032,1.4534539549416383,0.6996970213502633,-0.1120330541651782,1.5098377841295234,0.6854165395404066,-0.20006939092627313,0.17772776413515207,0.04323953125261683,153.91,3.7409265783214383,0.4839115958018939,0.2450042161736337,3.2414451732136853,0.7726573779493754,0.3091964507477309,1.5404837117882724,106.42,0.0011723328944713079,0.0,22.12,0.024868061529863126,0.0,424.65,1.5692397496555848,0.44780038210082374,4.421089219134558,0.04524706754193863
Conlangs - Interlingua - Technical - EU Wiki,5.221722961442247,3.3157782084725476,0.6961978823211823,6.668143791656064,3.2061241788812356,0.2784318292011868,-0.24292331967389508,1.5136064930819177,1.380711288325259,3.3674264099068045,1.207258877323215,1.1264214923903484,2.61366817028385,20.81,2.7532,1.495182367686076,0.7207786340206251,-0.1979594781146528,1.5050088864001248,0.7224209221210075,-0.23511683692475666,0.1595505048639095,0.04237369024600444,161.66,3.909665481098629,0.45918858230927945,0.24959478102396626,3.8838443810464915,0.6350441722103214,0.29749691824161556,1.227564289947359,105.93,0.0006882563204956132,0.0,22.9,0.016444370528749776,3.111522126562416e-05,504.45,1.6222650883185887,0.44541629143293593,2.509147041733716,0.04096623254341472
Conlangs - Klingon - Literary - NT - Mark,5.410174720581026,2.6081569128090276,0.7251385706744784,5.895315061478472,2.664718342607566,0.5790302675740508,-0.04305480144808948,1.301996801279022,0.9167433297201226,3.670682633468186,1.0269481052714742,0.7118360533532838,3.238688202561454,9.17,1.398,1.8683135144535312,0.5318481877081406,-0.9970978117539536,1.8577842198618928,0.5527738170447153,-1.0440268304427467,0.14470743262423277,0.036718101201009094,135.09,3.5228592618861274,0.5247909065255218,0.1953783178321756,1.3845699143856398,0.7007943700966204,0.2015045623328905,0.551893199550561,123.54,0.0011372656930303405,0.0,22.17,0.0038590103528026135,0.0,506.51,1.4873775191874257,0.46318112974816567,5.271395438045017,0.02882113315090035
Conlangs - Klingon - Technical - Proxima Centauri B Wikia,4.817997763882942,2.66008694279821,1.3203171043300255,5.273833705474452,2.7931163670529573,1.1390284945130378,0.003278188238492892,1.3873511663285674,1.0679958736087483,4.0514329310334265,1.023243632057939,0.8316105385970506,3.8057773824952603,8.52,1.1996,1.7618926409931155,0.5824750845579364,-0.7577814567362684,1.8003977774507776,0.538752413794232,-0.7609358665015635,0.12270598384510054,0.039625111655349037,112.68,3.549389914106989,0.49511389995206906,0.2115702622186144,3.75827427480621,0.7493247279442262,0.24178217748099118,1.2097889650923,128.66,0.0016233274591426557,0.0,23.72,0.004702543208935889,0.0,486.73,1.471914557651203,0.46359782040748904,9.03473599008484,0.023948366669315824
Conlangs - Lojban - Literary - Alice in Wonderland,3.239631264330544,1.726488992526513,1.3624383458455545,3.857224301000329,1.8121664827859774,0.923689340274841,-0.1943972779316796,1.2832345646463998,0.7887924496066874,2.4485495627640645,1.0743676377811968,0.7533934222018303,2.743289576101992,20.88,2.846,1.4556688784831404,0.7042646394078347,-0.14026893844796418,1.3745708507428727,0.7348159938820391,0.008848955948018693,0.13570518841268242,0.039887237593637374,86.99,2.939947662919024,0.5603278852686409,0.28750341369602583,2.4204947889687363,1.041563428188042,0.2722100453950758,1.3113964035666448,96.6,0.0016090297560007157,0.0001,22.89,0.006661917673860338,0.0,343.8,1.4987673832087125,0.45561685604021185,3.890871812963105,0.0329567816184323
Conlangs - Lojban - Technical - Science News,3.622823990575087,2.2861770530213312,2.074799790446531,4.4441336162084895,2.515997936702232,1.7877881994552478,-0.15435758309301542,1.3624042890433048,0.9704821075211095,3.272007794035476,1.072732154067519,0.8230459922513279,3.638504047192656,25.06,2.4268,1.4660207492360595,0.723819900242091,-0.24045721418183208,1.4937446609739948,0.6840169588860976,-0.1707764086729261,0.12537154401670442,0.039849894717600205,90.11,2.67947968967706,0.5246815511780455,0.2693006732024179,2.3947031255544244,0.9465842742016335,0.24147409317368929,1.6007587285684293,104.96,0.0021053865968978756,0.0,22.99,0.013526412195380418,0.0,428.07,1.5542299064919642,0.47788162285404673,5.142818031156189,0.054404795516561376
Conlangs - LOLCat - Literary - NT - Matthew,3.9443142115925003,2.068182454909298,1.3579870262050397,4.4524678427136655,2.1873468876533857,1.1673207654352589,-0.10937565771187188,1.3455818973374851,0.934851946805585,3.5185232983309604,1.0399677760804023,0.7138798398950486,3.033487519123581,12.4,1.8568,1.6174471056415614,0.6376471823047393,-0.3438075373936224,1.6649195243261434,0.6225634541618342,-0.4944694738899318,0.11744517442571628,0.038336091741883536,92.81,2.9815575125688847,0.5440786086695476,0.24067874224706637,2.9438487630608963,0.8887808377663876,0.2768727216635806,1.4864021415370743,120.26,0.0010257610494216949,4.901960784313725e-05,24.62,0.03130859007336153,0.0002434974007689389,449.98,1.4580843294894816,0.4856312483182945,6.744654336615805,0.022399387848841726
Conlangs - Neo-Quenya - Literary - NT,4.5501348586115045,2.5136743961613766,0.5995763872927087,5.404377526755247,2.365365793941963,0.4899060339247952,-0.1720749033694505,1.2736083073396784,0.9415311097908159,3.6335567406952447,1.2537395117557497,1.0990685928105224,2.724447949441308,18.51,1.8900000000000001,1.6818679240655965,0.674865195188851,-0.7048884996394241,1.7180079612711119,0.6660338475089345,-0.7924362996851415,0.1768302865315965,0.04513072663707546,160.06,4.163534542636327,0.45141352034723947,0.25670619410343015,3.8596779009043742,0.7298110579378879,0.28428991108544016,2.1907609584578935,130.66,0.0006419005413947712,4.878048780487805e-05,21.52,0.023129057691076184,0.0,415.83,1.8001839803820587,0.4620737488643902,5.789240947728892,0.03242023886827066
